ذرية	ð u r r i j j a h
وعد	w a ʕ d
رأسمال	r a ʔ s m aː l
أمس	ʔ a m a s s i
الآن	a l ʔ aː n
عبوثران	ʕ a b a w θ a r aː n
مقايسة	m u q aː j a s a
أمس	ʔ u m a s s u
ركل	r a k l
حزم	ħ a z a m a
ع	ʕ
بوري	b uː r iː
مينا	m iː n aː
عند	ʕ i n d a
استعصم	i s t a ʕ sˤ a m a
مصنع	m a sˤ n a ʕ
مغزل	m i ɣ z a l
معارف	m a ʕ aː r i f
عائلة	ʕ aː ʔ i l a
سلح	s a l ħ
تواضع	t a w aː dˤ u ʕ
شيص	ʃ iː sˤ
كرفس	k a r a f s
أسهل	ʔ u s a h h i l
كبيكج	k a b iː k a d͡ʒ
شاهد	ʃ aː h a d a
مراجع	m u r aː d͡ʒ i ʕ
دبار	d i b aː r
عربي	ʕ a r a b i j j
بهيم	b a h iː m
ريال	r i j aː l
مكدس	m u k a d d i s
صهريج	sˤ i h r iː d͡ʒ
شهوة	ʃ a h w a
أنف	ʔ a n f u
فحص	f a ħ a sˤ a
نظر	n a ðˤ ðˤ a r a
إهليلج	ʔ i h l iː l a d͡ʒ
تمارة	t a m aː r a
بلوة	b i l w a
كساء	k i s aː ʔ
مناظرة	m u n aː ðˤ a r a h
ضال	dˤ aː l l
ولكن	w a l aː k ɪ n
شخص	ʃ a x x a sˤ a
سذاب	s u ð aː b
ترك	t a r a k a
سونكي	s u n k i j j
عصير	ʕ a sˤ iː r
أنزروت	ʔ a n z a r uː t
باع	b aː ʕ a
حمار	ħ i m aː r
حكمة	ħ a k a m a
أزرع	ʔ a z r a ʕ a
سحم	s a ħ i m a
مشوي	m a ʃ w i j j
قرد	q i r d
مكحلة	m u k ħ u l a
كامبوديا	k a m b oː d i j aː
ممسحة	m i m s a ħ a
مرو	m a r w
مطبخ	m a tˤ b a x
محسن	m u ħ a s s i n
نخل	n a x a l a
نازع	n aː z i ʕ
معارضة	m u ʕ aː r a dˤ a
انعقاد	i n ʕ i q aː d
توغو	t oː ɣ oː
أوبرا	ʔ u b i r a
جادل	d͡ʒ aː d a l a
بارد	b aː r i d
غسل	ɣ a s a l a
أحسن	ʔ u ħ a s s a n u
سوء	s uː ʔ
ماز	m aː z a
انقلب	i n q a l a b a
حافلة	ħ aː f i l a
أميرة	æ m iː r a
مص	m a sˤ sˤ a
شاقول	ʃ aː q uː l
شج	ʃ a d͡ʒ i n
سعى	s a ʕ aː
واحد	w aː ħ i d
أمير	ʔ a m iː r
شهلاء	ʃ a h l aː ʔ
شبح	ʃ a b a ħ
جنى	d͡ʒ a n aː
شمس	ʃ a m i s a
قارورة	q aː r uː r a
