overseen	o ʊ v ɚ s i n
lamington	l æ m ɪ ŋ t ə n
solanaceous	s ɒ l ə n e ɪ ʃ ə s
curfew	k ɝ f j u
kolkata	k o ʊ l k ɑ t ə
ancestress	æ n s ɛ s t ɹ ɪ s
guidon	ɡ a ɪ d ə n
hague	h e ɪ ɡ
puttanesca	p u t ə n ɛ s k ə
faded	f e ɪ d ɪ d
entr'acte	ɑ n t ɹ æ k t
indubitable	ɪ n d u b ɪ t ə b ə l
polyzoa	p ɒ l i z ə ʊ ə
feckless	f ɛ k l ə s
maglev	m æ ɡ l ɛ v
dockize	d ɒ k ɑ ɪ z
formalism	f ɔ ɹ m l̩ ɪ z m̩
gonochorist	ɡ ɒ n ə k ɔː ɹ ɪ s t
saurian	s ɔ ɹ i ə n
specialist	s p ɛ ʃ ə l ɪ s t
absinthe	æ b s ɪ n θ
implore	ɪ m p l ɔ ɹ
swalk	s w ɔː l k
occitan	ɒ k s ɪ t æ n
bream	b ɹ i m
theories	θ ɪ ɹ i z
manchette	m ɑ n ʃ ɛ t
handeggs	h æ n d ɛ ɡ z
whorl	w ɜː ɹ l
immane	ɪ m e ɪ n
claudius	k l ɔ d i ə s
privatize	p ɹ a ɪ v ə t a ɪ z
alarmist	ə l ɑ ɹ m ɪ s t
señor	s e ɪ n j ɔ ɹ
phratry	f ɹ æ t ɹ i
tanist	t æ n ɪ s t
crash	k ɹ æ ʃ
boll	b o ʊ l
pauper	p ɔ p ɚ
blench	b l ɛ n t͡ʃ
daigou	d a ɪ ɡ o ʊ
aquabib	æ k w ə b ɪ b
done	d ʌ n
sebastion	s ə b æ s t ʃ ə n
grith	ɡ ɹ ɪ θ
remuneration	ɹ ə m j uː n ə ɹ e ɪ ʃ ə n
successor	s ʌ k s ɛ s ə ɹ
songbird	s ɔ ŋ b ɝ d
wherever	h w ɛ ɹ ɛ v ɚ
toruffle	t ə ɹ ʌ f ə l
jelena	d ʒ ə l iː n ə
genoese	d͡ʒ ɛ n ə ʊ iː z
grandparent	ɡ ɹ æ n d p ɛ ə ɹ ə n t
dumping	d ʌ m p ɪ ŋ
nudist	n u d ɪ s t
bigots	b ɪ ɡ ə t s
dublin	d ʌ b l ə n
santander	s æ n t æ n d ɛ ə ɹ
haig	h e ɪ ɡ
margarine	m ɑ ɹ d ʒ ə ɹ i n
archaeophyte	ɑː ɹ k iː ə f a ɪ t
fertile	f ɝː t a ɪ l
absorbable	ə b s ɔ ɹ b ə b l̩
vientiane	v j ɛ n t j ɑː n
graphic	ɡ ɹ æ f ɪ k
ectasia	ɛ k t e ɪ z j ə
thanatos	θ æ n ə t ɒ s
perplexing	p ɚ p l ɛ k s ɪ ŋ
caliche	k ə l i t ʃ i
triturated	t ɹ ɪ t j ʊ ɹ e ɪ t ɪ d
nide	n a ɪ d
astronomy	æ s t ɹ ɑ n ə m i
chains	t ʃ e ɪ n z
foisty	f ɔ ɪ s t ɪ
pahari	p ə h ɑː ɹ i
del	d ɛ l
ephedrone	ɛ f ə d ɹ o ʊ n
sleiveen	s l iː v iː n
pulque	p ʊ l k i
sbirro	s p i ɹ o ʊ
plank	p l æ ŋ k
wore	w ɔ ɹ
duds	d ʌ d z
primp	p ɹ ɪ m p
boul	b uː l
hoots	h uː t s
booths	b u ð z
cambrian	k æ m b ɹ i ə n
serenade	s ɛ ɹ ə n e ɪ d
bald	b ɔ l d
pontifex	p ɒ n t ɪ f ɛ k s
paddings	p æ d ɪ ŋ z
catechism	k æ t ɪ k ɪ z ə m
bewitched	b ɪ w ɪ t ʃ t
clothed	k l o ʊ ð d
foiling	f ɔ ɪ l ɪ ŋ
gritty	ɡ ɹ ɪ t i
tongs	t ɔ ŋ z
sinaitic	s a ɪ n e ɪ t ɪ k
adluminal	æ d l u m ɪ n ə l
efficient	ə f ɪ ʃ ə n t
detour	d iː t ʊ ə ɹ
jalapeño	h æ l ə p e ɪ n j o ʊ
descendant	d ɪ s ɛ n d ə n t
belief	b ɪ l iː f
icily	a ɪ s ɪ l i
delete	d ə l iː t
carnaval	k ɑ ɹ n ə v ɑ l
mcmahon	m ə k m æ n
yere	j ɪ ɹ
dilapidate	d ə l æ p ə d e ɪ t
hurried	h ʌ ɹ i d
fiat	f a ɪ æ t
phenomenon	f ɪ n ɑ m ə n ɑ n
dewan	d ə w ɑː n
shirt	ʃ ɝ t
frontings	f ɹ ʌ n t ɪ ŋ z
ambivalent	æ m b ɪ v ə l ə n t
ingrow	ɪ n ɡ ɹ o ʊ
still	s t ɪ l
abomasi	æ b o ʊ m e ɪ s a ɪ
drained	d ɹ e ɪ n t
tuna	t u n ə
barbituate	b ɑ ɹ b ɪ t ʃ u ɪ t
allowance	ə l a ʊ ə n s
skim	s k ɪ m
leaved	l iː v d
blue	b l uː
tuyere	t w i j ɛ ɹ
asana	ɑː s ə n ə
aurora	ə ɹ ɔː ɹ ə
hardly	h ɑ ɹ d l i
attrist	ə t ɹ ɪ s t
misperceptive	m ɪ s p ə ɹ s ɛ p t ɪ v
classifier	k l æ s ɪ f a ɪ ɚ
nebula	n ɛ b j ʊ l ə
changeable	t͡ʃ e ɪ n d͡ʒ ə b ə l
teared	t ɛ ɹ d
extent	ɪ k s t ɛ n t
mind	m a ɪ n d
produces	p ɹ ə d u s ɪ z
handsy	h æ n d z i
realty	ɹ i ə l t i
gilden	ɡ ɪ l d ə n
si	s ɪ
tanzania	t æ n z ə n iː ə
wrily	ɹ a ɪ l i
loneliness	l o ʊ n l i n ə s
apéritif	ə p ɛ ɹ ɪ t iː f
mavourneen	m ə v ɝ n iː n
passively	p æ s ɪ v l i
fingertip	f ɪ ŋ ɡ ɚ t ɪ p
locked	l ɑ k t
ennui	ɑ n w i
curia	k j uː ɹ i ə
burr	b ɝ
arson	ɑ ɹ s ə n
shelter	ʃ ɛ l t ɚ
checklist	t ʃ ɛ k l ɪ s t
excerpt	ɛ k s ɜ ɹ p t
euro	j ʊ ɹ o ʊ
outdoorsy	a ʊ t d ɔ ɹ z i
epiphonema	ɛ p ɪ f ə n iː m ə
quixotic	k w ɪ k s ɑ t ɪ k
banner	b æ n ɚ
bangable	b æ ŋ ɡ ə b ə ɫ
taboo	t ə b uː
herptile	h ɝ p t a ɪ l
chillun	t ʃ ɪ l ə n
hombre	ɑ m b ɹ e ɪ
stringy	s t ɹ ɪ ŋ i
blights	b l a ɪ t s
arbuscle	ɑː b ʌ s ə l
snackless	s n æ k l ə s
rib	ɹ ɪ b
drop	d ɹ ɑ p
superintendent	s uː p ə ɹ ɪ n t ɛ n d ə n t
suffrutices	s ʌ f ɹ uː t ɪ s iː z
gape	ɡ e ɪ p
erotic	ɪ ɹ ɑ t ɪ k
tophet	t o ʊ f ɪ t
hatchet	h æ t ʃ ɪ t
bricked	b ɹ ɪ k t
main	m e ɪ n
lithuania	l ɪ θ w e ɪ n i ə
ne'er	n ɛ ɚ
resistlessly	ɹ ə z ɪ s t l ə s l i
buddle	b ə d ə l
anglicism	æ ŋ ɡ l ə s ɪ z ə m
kissing	k ɪ s ɪ ŋ
annoyant	ə n ɔ ɪ ə n t
abash	ə b æ ʃ
mistaker	m ɪ s t e ɪ k ə ɹ
escalator	ɛ s k ə l e ɪ t ɚ
gramme	ɡ ɹ æ m
climograph	k l a ɪ m ə ɡ ɹ æ f
renault	ɹ ə n o ʊ
noblest	n o ʊ b l ɪ s t
crinal	k ɹ ʌ ɪ n ə l
harris	h æ ɹ ɪ s
crashes	k ɹ æ ʃ ɪ z
rug	ɹ ʌ ɡ
objectivity	ɑ b d͡ʒ ɛ k t ɪ v ɪ t i
clyde	k l a ɪ d
runnel	ɹ ʌ n l
underlip	ʌ n d ɚ l ɪ p
olivia	o ʊ l ɪ v i ə
wahine	w ɑ h i n e ɪ
bubblegum	b ʌ b ə l ɡ ʌ m
chimpanzee	t ʃ ɪ m p ə n z iː
hosta	h o ʊ s t ə
manizer	m æ n a ɪ z ə ɹ
flees	f l iː z
ananke	ə n æ ŋ k i
saditty	s ə d ɪ t i
ivan	i v ɑː n
abbe	æ b e ɪ
logrolling	l ɑ ɡ ɹ o ʊ l ɪ ŋ
kapoor	k ʌ p uː ɹ
vick	v ɪ k
élan	e ɪ l ɑː n
whirlpool	w ɝ l p u l
florida	f l ɔ ɹ ɪ d ə
conditional	k ə n d ɪ ʃ ə n ə l
facing	f e ɪ s ɪ ŋ
carriages	k ɛ ɹ ɪ d ʒ ɪ z
cauliflower	k ɔ l ə f l a ʊ ɚ
shush	ʃ ʌ ʃ
hood	h ʊ d
cyan	s a ɪ ə n
daesh	d ɑː ɛ ʃ
campings	k æ m p ɪ ŋ z
ohio	ə h a ɪ o ʊ
licensee	l a ɪ s ə n s iː
gad	ɡ æ d
menobranch	m ɛ n ə b ɹ æ ŋ k
champ	t͡ʃ æ m p
course	k ɔː ɹ s
discontinuity	d ɪ s k ɑ n t ɪ n uː ɪ t i
spacefaring	s p e ɪ s f æ ɹ ɪ ŋ
brail	b ɹ e ɪ l
grammalogue	ɡ ɹ æ m ə l ɒ ɡ
nepotation	n ɛ p ə t e ɪ ʃ n̩
fund	f ʌ n d
oppression	ə p ɹ ɛ ʃ ə n
calyculus	k ə l ɪ k j ə l ə s
cachinnation	k a k ɪ n e ɪ ʃ ə n
ashanti	ə ʃ æ n t iː
gank	ɡ æ ŋ k
bubbas	b ʌ b ə z
elope	ɛ l o ʊ p
tenderly	t ɛ n d ɚ l i
rapport	ɹ ə p ɔ ɹ
easily	iː z ə l iː
vegetation	v ɛ d͡ʒ ə t e ɪ ʃ ə n
motherhood	m ʌ ð ɚ h ʊ d
alexithymia	e ɪ l ɛ k s ə θ a ɪ m i ə
sagan	s e ɪ ɡ ə n
tiffed	t ɪ f t
byronism	b a ɪ ɹ ə n ɪ z m̩
gascon	ɡ æ s k ə n
glassy	ɡ l æ s i
chichester	t ʃ ɪ t ʃ ɪ s t ə
suzerainty	s j u z ə ɹ ə n t i
proem	p ɹ ə ʊ ə m
fossette	f ɔ s ɛ t
butter	b ʌ t ə ɹ
polyglot	p ɒ l iː ɡ l ɒ t
pickies	p ɪ k i z
meritocracy	m ɛ ɹ ə t ɑ k ɹ ə s i
resulted	ɹ ɪ z ʌ l t ɪ d
exponent	ɛ k s p o ʊ n ə n t
gimp	d ʒ ɪ m p
megan	m e ɪ ɡ ə n
fuller	f ʊ l ɚ
alternate	ɑ l t ɚ n e ɪ t
serbia	s ɝ b i ə
charities	t ʃ ɛ ɹ ə t i z
devise	d ɪ v a ɪ z
introversion	ɪ n t ɹ ə v ə ɹ ʃ ə n
scribality	s k ɹ a ɪ b æ l ɪ t i
mandarine	m æ n d ə ɹ iː n
realm	ɹ ɛ l m
favillous	f ə v ɪ l ə s
cowper	k a ʊ p ə ɹ
ethnic	ɛ θ n ɪ k
tetralogy	t ɛ t ɹ æ l ə d ʒ i
cataclysm	k æ t ə k l ɪ z m̩
skills	s k ɪ l z
leaks	l iː k s
commanded	k ə m æ n d ɪ d
lottery	l ɑ t ɚ i
stretchy	s t ɹ ɛ t ʃ i
kea	k e ɪ ə
openwork	ə ʊ p ə n w ɜː ɹ k
drizzle	d ɹ ɪ z l
currency	k ɝ ə n s i
iranian	i ɹ ɑː n i ə n
gears	ɡ ɪ ə ɹ z
mocking	m ɑ k ɪ ŋ
neostigmine	n iː ə s t ɪ ɡ m iː n
clamor	k l æ m ɚ
enjoy	ɪ n d͡ʒ ɔ ɪ
coursebook	k ɔː r s b ʊ k
baenopod	b iː n ə p ɒ d
inconspicuous	ɪ n k ə n s p ɪ k j u ə s
vitrine	v ɪ t ɹ iː n
dying	d a ɪ ɪ ŋ
bocal	b o ʊ k æ l
courtier	k ɔ ɹ t i ɚ
splat	s p l æ t
antics	æ n t ɪ k s
accentor	ə k s ɛ n t ɚ
rog	ɹ ɒ d ʒ
nematophagous	n iː m ə t ɒ f ə ɡ ə s
trichomania	t ɹ ɪ k ə m e ɪ n i ə
nudiviral	n j uː d ɪ v a ɪ ɹ ə l
gambling	ɡ æ m b l ɪ ŋ
campaign	k ə m p e ɪ n
renaissance	ɹ ɛ n ə s ɑ n s
fiber	f a ɪ b ɚ
are	ɑ ɹ
disclaimers	d ɪ s k l e ɪ m ɚ z
yippie	j ɪ p i
völva	v ɑ l v ə
telomerase	t e l ɑ m ə ɹ e ɪ s
bijection	b a ɪ d ʒ ɛ k ʃ ə n
labyrinth	l æ b ɹ ɪ n θ
importunate	ɪ m p ɔ ɹ t͡ʃ ə n ə t
naive	n a ɪ iː v
coplanar	k ə ʊ p l e ɪ n ə ɹ
methi	m eː t i
overspecify	o ʊ v ɚ s p ɛ s ɪ f a ɪ
quean	k w iː n
curate	k j ʊ ɹ ɪ t
absorbed	æ b s ɔ ɹ b d
alkaloids	æ l k ə l ɔ ɪ d z
hissies	h ɪ s i z
punctual	p ʌ ŋ t ʃ u ə l
crybaby	k ɹ a ɪ b e ɪ b i
drape	d ɹ e ɪ p
preservation	p ɹ ɛ z ɝ v e ɪ ʃ ə n
capo	k æ p ə ʊ
peeper	p i p ɚ
ratfink	ɹ æ t f ɪ ŋ k
mechanism	m ɛ k ə n ɪ z m
speciesism	s p iː s iː z ɪ z ə m
ponent	p ə ʊ n ə n t
rubella	ɹ uː b ɛ l ə
pedophile	p ɛ d ə f a ɪ l
blossomy	b l ɒ s m i
gemma	d ʒ ɛ m ə
blinker	b l ɪ ŋ k ə ɹ
asthma	æ z ð m ə
verdant	v ɝ d ə n t
mistletoe	m ɪ s ə l t o ʊ
reëvoke	ɹ iː ɪ v ə ʊ k
gaily	ɡ e ɪ l i
quote	k w ə ʊ t
dekulakize	d ɪ k u l æ k a ɪ z
hander	h æ n d ə ɹ
