אחד	e ˈħ ä d̪
סדן	s a ˈd a n
דברים	d v a ˈʁ i m
קטן	k a ˈt a n
מג״ב	m a ˈɡ a v
לימד	l i ˈm ɛ d
חפרפרת	χ a f a ʁ ˈp e ʁ e t
תורה	t ø ˈr ɔ
ציון	sˤ i j . ˈj o n
עקשן	ʔ a k ˈʃ a n
עמורה	ʔ a m o ʁ a
חסד	ˈχ e s e d
חבש	ħ a ˈb a ʃ
מסכת	m a s ˈs ɛ . χ ɛ θ
סופגנייה	s u f . ɡ a . n i ˈj a
חכם	ħ ɑ ˈx ɑ m
פך	p a χ
אבנט	ʔ a v n ɛ t
השפעה	h a ʃ . p a ˈʕ a
עכוז	a k u z
הודעה	h o . d a ˈʔ a
הוציא	h o ˈt͡s i
חמישי	χ a . m i ˈʃ i
מחרתיים	m a . ħ o . r a ˈt a . j i m
שובל	ʃ o ˈv e l
אות	ʔ ø θ
ישראל	j i s . ʁ a ˈʔ e l
קרה	k a ˈʁ a
גנב	ɡ a ˈn a v
רווקה	r a w . w a ˈq a
התכוון	h i t . k a ˈv e n
הסתתר	h i s t a ˈt e ʁ
דוח	d o χ
עצים	ʕ e t͡s ˈi m
שש	ʃ e ʃ
ביטא	b i ˈt e ʔ
כרוב	k ə ˈr u v
אשה	ʔ i ˈʃ a
ספריה	s i f r i ˈj a
רחוק	ʁ a ˈχ ɔ k
עברית	i v ˈʁ i t
ברוך	b a ˈʁ u χ
אדוני	æ ð ø ˈn ɔ j
חוה	χ a ˈv a
טלית	t a l ˈl i θ
חמש	ħ ɔ . m e ʃ
שקרן	ʃ a k ˈʁ a n
פח	p a ˈχ i m
חיים	ħ æ ˈj i m
אוכל	ʔ o ˈχ e l
מזל	m a ˈz a l
הזדמנות	h i z . d a m ˈn u t
זבוב	z v u v
תשובה	t ʃ u ˈv a
בראשית	b ə r e j ˈʃ i s
קומבינה	k o m ˈb i n a
בדיוק	b e . d i ˈj u k
פלשת	p æ ˈl æ ʃ æ θ
קוראן	k u ʁ ˈʔ a n
עצלן	a t s ˈl a n
אבוס	ʔ e ˈv u s
מושלם	m u ʃ ˈl a m
השפעה	h a ʃ . p ɔ ˈʕ ɔ
קלה	k a ˈl a
תחת	ˈt a . x a s
שלמה	ʃ ə . l o ˈm o
גלויה	ɡ l u ˈj a
הלכה	h a . l a ˈχ a
הארץ	h a ˈʔ a ʁ e t͡s
בחייך	b e χ a ˈj a . i χ
שלום	ʃ a ˈl o m
אדריכל	a d ʁ i ˈχ a l
צרח	t s a ˈʁ a χ
רפאל	ʁ a f a ˈʔ e l
טרול	t ʁ o l
רצה	ʁ a ˈt s a
עזה	ʕ æ ˈz ɔ
עולם	ʕ o ˈl ɔ m
תשע	ˈt e . ʃ a
חבש	ħ a ˈv a ʃ
עברות	ʔ i v ˈʁ u t
כאילו	ˈk i . l u
משתלה	m i ʃ t a ˈl a
קום	k u m
חרדיים	χ a ʁ ɛ ˈd i m
צימוקים	t s i . m u . ˈk i m
יחידה	j ɛ χ i d a
קרא	q a ˈr a ʔ
צרפתית	t s a ʁ f a ˈt i t
ש״ח	ʃ a χ
חורפים	χ o ʁ a ˈf i m
יחזקאל	j ə ħ ɛ z ˈq ē l
נשבר	n i ʃ ˈb a ʁ
ארץ	ˈe r e s
חדר	χ a ˈd a ʁ
ל־	l e
ציון	t͡s i ˈj o n
חיבל	χ i ˈb e l
מוזר	m u ˈz a ʁ
משה	m o ˈʃ e
רימון	ʁ i ˈm o n
קול	q o l
גמל	d͡ʒ a m ɔ l
שקל	ˈʃ e q e l
שש	ʃ e ʃ
משחק	m i s ˈχ a k
מזל	m a z ˈz a l
מלך	m ɔ ˈl a x
ש״ץ	ʃ a t s
רגש	ˈʁ ɛ ɡ ɛ ʃ
הייתה	h a j ɛ ˈt a
נגב	ˈn e ɡ e v
מתתיהו	m a t . t i θ ˈj ɔ . h u
קול	ɡ ø l
את	e t
דפקתי	d a ˈf a k t i
ליד	l e ˈj a d
מרבד	m a ʁ ˈv a d
אצבע	ʔ e t͡s ˈb a ʕ
אבה	ʔ a ˈv a
מזל	m a . z ɔ l
צינגלה	ˈt s i n ɡ a l e
