avidité	a v i d i t e
vibrisse	v i b ʁ i s
débrailler	d e b ʁ ɑ j e
pionceront	p j ɔ s ʁ ɔ
persécutait	p ɛ ʁ s e k y t ɛ
fabricateur	f a b ʁ i k a t œ ʁ
emmerdement	ɑ m ɛ ʁ d m ɑ
vicieux	v i s j ø
végé	v e ʒ e
ricochet	ʁ i k ɔ ʃ ɛ
contestez	k ɔ t ɛ s t e
diptote	d i p t ɔ t
suspecterais	s y s p ɛ k t ə ʁ ɛ
vêtons	v ɛ t ɔ
venir	v ə n i ʁ
renommassions	ʁ ə n ɔ m a s j ɔ
vendange	v ɑ d ɑ ʒ
éloge	e l ɔ ʒ
dualisons	d ɥ a l i z ɔ
rayonnement	ʁ ɛ j ɔ n m ɑ
surplombai	s y ʁ p l ɔ b e
fleurissez	f l œ ʁ i s e
asteure	a s t œ ʁ
déclarer	d e k l a ʁ e
stud	s t y d
labourerais	l a b u ʁ ə ʁ ɛ
tranquille	t ʁ ɑ k i l
éculez	e k y l e
caduc	k a d y k
insolent	ɛ s ɔ l ɑ
fractionnelle	f ʁ a k s j ɔ n ɛ l
énergisassiez	e n ɛ ʁ ʒ i z a s j e
contourner	k ɔ t u ʁ n e
ressasse	ʁ ə s a s
ressortais	ʁ ə s ɔ ʁ t ɛ
détournera	d e t u ʁ n ə ʁ a
indiquer	ɛ d i k e
eudème	ø d ɛ m
pépite	p e p i t
enclencher	ɑ k l ɑ ʃ e
flegme	f l ɛ ɡ m
affrontement	a f ʁ ɔ t m ɑ
billant	b i j ɑ
vampire	v ɑ p i ʁ
hanovriennes	a n ɔ v ʁ i j ɛ n
cléopâtre	k l e ɔ p ɑ t ʁ
rallongerais	ʁ a l ɔ ʒ ʁ ɛ
dauberez	d o b ʁ e
conspuons	k ɔ s p ɥ ɔ
astronavale	a s t ʁ ɔ n a v a l
e	œ
fumer	f y m e
ériflez	e ʁ i f l e
formalisassent	f ɔ ʁ m a l i z a s
amassât	a m a s ɑ
squattérisent	s k w a t e ʁ i z
voyagiste	v w a j a ʒ i s t
stimuler	s t i m y l e
affectueuses	a f ɛ k t ɥ ø z
tomateras	t ɔ m a t ʁ ɑ
grandeurs	ɡ ʁ ɑ d œ ʁ
enjambement	ɑ ʒ ɑ b m ɑ
avocate	a v ɔ k a t
raviras	ʁ a v i ʁ ɑ
emprisonné	ɑ p ʁ i z ɔ n e
squattas	s k w a t ɑ
canada	k a n a d ɑ
libertarianisme	l i b ɛ ʁ t a ʁ j a n i s m
languidement	l ɑ ɡ i d m ɑ
alpha	a l f a
déplacé	d e p l a s e
pointilleux	p w ɛ t i j ø
empareriez	ɑ p a ʁ ə ʁ j e
sardinier	s a ʁ d i n j e
d'acc	d ‿ a k
gants	ɡ ɑ
gnocchi	ɲ ɔ k i
badgerions	b a d ʒ ə ʁ j ɔ
squatté	s k w a t e
sahraouie	s a ʁ a w i
seyait	s ɛ j ɛ
ardu	a ʁ d y
fertiliseriez	f ɛ ʁ t i l i z ə ʁ j e
safre	s a f ʁ
ravigotasse	ʁ a v i ɡ ɔ t a s
cléricaille	k l e ʁ i k a j
coq	k ɔ k
photoamorcés	f ɔ t o a m ɔ ʁ s e
protégèrent	p ʁ ɔ t e ʒ ɛ ʁ
oncques	ɔ k
marde	m a ʁ d
lampassiez	l ɑ p a s j e
chevaux	ʃ ə v o
formalisant	f ɔ ʁ m a l i z ɑ
marâtre	m a ʁ ɑ t ʁ
épureriez	e p y ʁ ə ʁ j e
gazonnâmes	ɡ ɑ z ɔ n a m
tisonnier	t i z ɔ n j e
recuirons	ʁ ə k ɥ i ʁ ɔ
stockez	s t ɔ k e
kleptomane	k l ɛ p t ɔ m a n
charnel	ʃ a ʁ n ɛ l
translatons	t ʁ ɑ s l a t ɔ
relogera	ʁ ə l ɔ ʒ ʁ a
surnommât	s y ʁ n ɔ m ɑ
euthanasiâmes	ø t a n a z j ɑ m
forme	f ɔ ʁ m
débilitas	d e b i l i t ɑ
cigale	s i ɡ a l
traumatisassiez	t ʁ o m a t i z a s j e
scruteriez	s k ʁ y t ə ʁ j e
hâbleur	ɑ b l œ ʁ
inféoder	ɛ f e ɔ d e
cassa	k a s a
blaise	b l ɛ z
toilerez	t w a l ʁ e
pin's	p i n s
moutonner	m u t ɔ n e
naturaliser	n a t y ʁ a l i z e
électeur	e l ɛ k t œ ʁ
microjupe	m i k ʁ o ʒ y p
attendrissons	a t ɑ d ʁ i s ɔ
horisontale	ɔ ʁ i z ɔ t a l
djeun's	d ʒ œ s
empira	ɑ p i ʁ a
capitonnassent	k a p i t ɔ n a s
figeâmes	f i ʒ ɑ m
assortissent	a s ɔ ʁ t i s
zostère	z ɔ s t ɛ ʁ
communiant	k ɔ m y n j ɑ
fascineriez	f a s i n ə ʁ j e
fongivore	f ɔ ʒ i v ɔ ʁ
brillant	b ʁ i j ɑ
anguleux	ɑ ɡ y l ø
biniou	b i n j u
smashais	s m a ʃ ɛ
effriteront	e f ʁ i t ʁ ɔ
choir	ʃ w a ʁ
cellule	s e l y l
haussier	o s j e
tringlèrent	t ʁ ɛ ɡ l ɛ ʁ
mural	m y ʁ a l
lavandière	l a v ɑ d j ɛ ʁ
campagnard	k ɑ p a ɲ a ʁ
bahamas	b a a m a s
accomplissions	a k ɔ p l i s j ɔ
lorgnette	l ɔ ʁ ɲ ɛ t
inaugurerions	i n o ɡ y ʁ ə ʁ j ɔ
fléchissant	f l e ʃ i s ɑ
raviserait	ʁ a v i z ʁ ɛ
margions	m a ʁ ʒ j ɔ
écriera	e k ʁ i ʁ a
véritablement	v e ʁ i t a b l ə m ɑ
cloison	k l w a z ɔ
fêlas	f ɛ l ɑ
raccorda	ʁ a k ɔ ʁ d a
confiture	k ɔ f i t y ʁ
mitigerais	m i t i ʒ ʁ ɛ
examen	e ɡ z a m ɛ
sismogramme	s i s m ɔ ɡ ʁ a m
tesseller	t ɛ s ɛ l e
peut	p ø
joyeusement	ʒ w a j ø z m ɑ
vies	v i
vesse	v ɛ s
pissarro	p i s a ʁ o
navigations	n a v i ɡ a s j ɔ
autochtone	o t ɔ k t ɔ n
écurie	e k y ʁ i
épidermes	e p i d ɛ ʁ m
métisser	m e t i s e
protégerez	p ʁ ɔ t e ʒ ʁ e
antitauon	ɑ t i t o ɔ
antécienne	ɑ t e s j ɛ n
envoûteront	ɑ v u t ʁ ɔ
sophie	s ɔ f i
amand	a m ɑ
endurcirons	ɑ d y ʁ s i ʁ ɔ
pavanas	p a v a n ɑ
clouer	k l u e
échantillonnage	e ʃ ɑ t i j ɔ n a ʒ
redoublâmes	ʁ ə d u b l ɑ m
épineuse	e p i n ø z
marxologiquement	m a ʁ k s ɔ l ɔ ʒ i k m ɑ
amaryllis	a m a ʁ i l i s
reformais	ʁ ə f ɔ ʁ m ɛ
empressons	ɑ p ʁ e s ɔ
applaudit	a p l o d i
rebelle	ʁ ə b ɛ l
dénombrable	d e n ɔ b ʁ a b l
chutney	t ʃ œ t n i
réimporter	ʁ e ɛ p ɔ ʁ t e
apertes	a p ɛ ʁ t
noyautage	n w a j o t a ʒ
penaud	p ə n o
alban	a l b ɑ
intimé	ɛ t i m e
labilité	l a b i l i t e
cuiter	k ɥ i t e
tors	t ɔ ʁ
myrmécologiquement	m i ʁ m e k ɔ l ɔ ʒ i k m ɑ
commettant	k ɔ m ɛ t ɑ
flanchet	f l ɑ ʃ ɛ
mousquetonnait	m u s k ə t ɔ n ɛ
activité	a k t i v i t e
linceul	l ɛ s œ l
postulerions	p ɔ s t y l ə ʁ j ɔ
électronucléaire	e l ɛ k t ʁ ɔ n y k l e ɛ ʁ
