ذرية	ðurrijjah
وعد	waʕd
رأسمال	raʔsmal
أمس	ʔamassi
الآن	alʔan
عبوثران	ʕabawθaran
مقايسة	muqajasa
أمس	ʔumassu
ركل	rakl
حزم	ħazama
ع	ʕ
بوري	buri
مينا	mina
عند	ʕinda
استعصم	istaʕsˤama
مصنع	masˤnaʕ
مغزل	miɣzal
معارف	maʕarif
عائلة	ʕaʔila
سلح	salħ
تواضع	tawadˤuʕ
شيص	ʃisˤ
كرفس	karafs
أسهل	ʔusahhil
كبيكج	kabikad͡ʒ
شاهد	ʃahada
مراجع	murad͡ʒiʕ
دبار	dibar
عربي	ʕarabijj
بهيم	bahim
ريال	rijal
مكدس	mukaddis
صهريج	sˤihrid͡ʒ
شهوة	ʃahwa
أنف	ʔanfu
فحص	faħasˤa
نظر	naðˤðˤara
إهليلج	ʔihlilad͡ʒ
تمارة	tamara
بلوة	bilwa
كساء	kisaʔ
مناظرة	munaðˤarah
ضال	dˤall
ولكن	walakɪn
شخص	ʃaxxasˤa
سذاب	suðab
ترك	taraka
سونكي	sunkijj
عصير	ʕasˤir
أنزروت	ʔanzarut
باع	baʕa
حمار	ħimar
حكمة	ħakama
أزرع	ʔazraʕa
سحم	saħima
مشوي	maʃwijj
قرد	qird
مكحلة	mukħula
كامبوديا	kambodija
ممسحة	mimsaħa
مرو	marw
مطبخ	matˤbax
محسن	muħassin
نخل	naxala
نازع	naziʕ
معارضة	muʕaradˤa
انعقاد	inʕiqad
توغو	toɣo
أوبرا	ʔubira
جادل	d͡ʒadala
بارد	barid
غسل	ɣasala
أحسن	ʔuħassanu
سوء	suʔ
ماز	maza
انقلب	inqalaba
حافلة	ħafila
أميرة	æmira
مص	masˤsˤa
شاقول	ʃaqul
شج	ʃad͡ʒin
سعى	saʕa
واحد	waħid
أمير	ʔamir
شهلاء	ʃahlaʔ
شبح	ʃabaħ
جنى	d͡ʒana
شمس	ʃamisa
قارورة	qarura
عزا	ʕaza
مكياج	makjad͡ʒ
سنط	santˤ
صعتر	sˤaʕtar
لباس	libas
إقالة	ʔiqalah
شاقولي	ʃaqulijj
أنف	ʔanfi
ناخوذاة	naxuðah
أسهر	ʔashara
نور	nawr
بحاح	buħaħ
صعب	sˤaʕuba
سنبوسج	sambusad͡ʒ
ذ	ðal
دويبة	duwajbbatun
خبط	χabˤtˤ
عض	ʕadˤdˤa
يسار	jasar
شبح	ʃabuħa
بشرية	baʃarijja
كوم	kawm
نسرين	nisrin
زميلة	zamila
معين	muʕajjin
ناجود	nad͡ʒud
نقض	naqdˤi
مشربة	miʃraba
قروش	quruʃ
فصح	fasˤħ
طقم	tˤaqm
رخاخ	rixax
تعطى	taʕatˤtˤa
سوق	suɡ
ثاقبايليث	θaqbajliθ
أعجم	ʔaʕd͡ʒama
لأك	laʔaka
دنر	dannara
مشط	maʃtˤ
تضمن	tadˤammun
تحيز	taħawwaza
ألماني	ʔalmanijj
يتيم	jatim
توكيد	tawkid
مؤسس	muʔassas
كيف	kajfa
صبي	sˤubbi
عمود	ʕamud
أزعر	ʔazʕar
طالم	tˤalam
أردني	ʔurdunnijj
ألا	ʔalla
عتبات	ʕatabat
سامور	samur
عاهل	ʕahil
بيت	bajjata
سلالة	sulala
هم	hum
فرغة	fariɣa
جزاء	d͡ʒazaʔ
ألف	ʔalif
منظمة	munaðˤðˤama
إغليق	ʔiɣliq
كويكب	kuwajkib
صنبور	sˤunbur
أخضر	ʔaxdˤar
الدانوب	addanub
مشعر	maʃʕar
شبح	ʃabaħa
طرق	tˤuruq
محافظ	muħafiðˤ
م	mim
جبن	d͡ʒabuna
قنصلية	qunsˤulijja
أما	ʔamma
برق	barq
نتأ	nataʔa
غرب	ɣaruba
انقضى	inqadˤa
منجاة	mand͡ʒah
نظر	naðˤar
هدى	hudan
شماتة	ʃamata
أعور	ʔaʕwar
إعلام	ʔiʕlam
طريخ	tˤirrix
طهران	tˤahran
قرفص	qarfasˤa
وقف	waqf
مرحبا	marħaba
واو	waw
صغر	sˤaɣɣara
شجرة	ʃad͡ʒara
انفتح	infataħa
ثمن	θumn
فص	fisˤsˤ
فرخ	farraxa
ضأن	dˤaʔn
ملوكيا	mulukijja
موتوسيكل	motosikil
خيرات	xajrat
ذو	ðu
دكتور	dɪktor
سيجارة	siɡara
سقيم	saqim
عادات	ʕadat
شبرم	ʃabram
يورانيم	juranjum
تنفس	tanfas
عربن	ʕarbana
قداد	qudad
شخصيا	ʃaxsˤijjan
مئة	miʔa
غرب	ɣarraba
تزامن	tazamun
بطء	butˤʔ
ويكة	wajka
ويكة	weka
أنطاكية	ʔantˤakijja
التقط	iltaqatˤa
ليزر	lajzir
أدهش	ʔudhiʃ
زوج	zawwad͡ʒa
بدني	badanijj
تواقف	tawaqafa
دودة	duda
صاد	sˤad
حرق	ħurɡ
فاصولياء	fasˤulijaʔ
إله	ʔilah
تقدم	taqaddum
عال	ʕalin
طاغوت	tˤaɣut
إبريسم	ʔibrajsam
حاك	ħaka
نهائي	nihaʔijj
إسبانيا	ʔisbanija
علامة	ʕalama
نموذج	namuðad͡ʒ
مضض	madˤadˤ
عراء	ʕaraʔ
شاء	ʃaʔa
كنف	kanaf
قسوة	qaswa
صفة	sˤifa
عظيم	ʕaðˤim
طقس	tˤaɡs
يتوع	jattuʕ
حرف	ħarf
قصدير	qasˤdir
تمرين	tamrin
وزنة	wazna
فلس	fils
تمساح	tɪmsæħ
أسهل	ʔashulu
حذار	ħaðari
فظع	faðˤuʕa
رقم	raqm
ماما	mama
سميذ	samið
فوشي	fuʃijj
مزرعة	mazraʕa
ثقافة	taqafa
أشقر	ʔaʃɡar
عظم	ʕiðˤam
صهب	sˤahiba
باكستان	bakistan
ليل	lajl
فجأة	fad͡ʒʔatan
أبلس	ʔablasa
منير	munir
زمج	zummad͡ʒ
جو	d͡ʒaww
أشنان	ʔuʃnan
نشور	nuʃur
قد	qadd
زنة	zina
كراج	karad͡ʒ
حصن	ħusˤun
هاته	hatih
سيارة	sajjara
طبقات	tˤabaqat
استلزم	istalzama
واس	was
لجئ	lad͡ʒaʔa
تحليلي	taħlilijj
لهذا	lihæðæ
تنديل	tanadil
مريء	mariʔ
ذهب	ðahab
خسوف	xusuf
وردة	warda
كنز	kaniz
مثل	maθala
عصف	ʕasˤf
ثمانية	θamanija
عواري	ʕawarijj
كركم	kurkum
استمرار	istimrar
قيقب	qajqab
شمبانيا	ʃampanja
مقاس	maqas
لن	lan
برذعة	barðaʕa
وديعة	wadiʕa
تدريجي	tadrid͡ʒijj
جندبادستر	d͡ʒundubadastar
أهدى	ʔahda
فرخ	farx
تعشيقة	taʕiʃiqa
جلنجبين	d͡ʒulland͡ʒubin
جبانات	d͡ʒabanat
شنع	ʃanuʕa
عزب	ʕazaba
حصاة	ħasˤah
تفرغ	tafarraɣa
تهدل	tahaddul
تراوح	tarawuħ
حدد	ħaddada
أعطى	ʔaʕtˤa
سمور	sammur
معلم	muʕlim
هرة	hirratun
أكاف	ʔukaf
اهتدى	ihtada
القنيطرة	alqunajtˤira
انسل	insalla
نرجيل	nard͡ʒil
أحد	ʔaħad
انتقل	intaqala
تال	talin
مقصر	muqasˤsˤir
قسم	qasm
فم	fam
احترق	iħtaraqa
مردي	murdijj
قبض	qabbadˤa
ملأك	malʔak
قال	ɡal
قيطون	qitˤun
قلوي	qalawijj
مقذاف	miqðaf
سويسرا	swisra
شلغم	ʃalɣam
عمم	ʕammama
مفرغ	mufarraɣ
لثة	lɪθɘ
انجراف	ind͡ʒiraf
قنطر	qantˤara
اقتطف	qatˤafa
بطن	batˤtˤana
عظم	ʕaðˤm
برواز	barwaz
برنيق	barniq
منقض	munqidˤ
قلعة	qilʕa
أقرب	ʔaqraba
تنفس	tunaffis
شمع	ʃamʕ
قرحة	qurħa
نساب	nassab
جين	d͡ʒin
ضرط	dˤartˤ
أنكر	ʔankara
شعير	ʃaʕir
دعسوقة	duʕsuqa
سوفياتي	sovjetijj
عتب	ʕataba
توقف	tawaqquf
فرنسا	faransa
تركمانستان	turkumanistan
صدقة	sˤadaqa
طيهوج	tˤajhud͡ʒ
عض	ʕadˤdˤ
مجراف	mid͡ʒraf
لوح	lawħ
نفوذ	nufuð
صارخ	sˤɑrix
أسيتون	ʔasitun
حمضي	ħamdˤijj
أكاذيب	ʔakaðib
بدلات	badalat
عوائد	ʕawaʔid
سينثيا	sinθija
وسخ	wasax
ج	d͡ʒim
جنطيانا	d͡ʒuntˤajana
اجتنى	id͡ʒtana
أنت	ʔanti
هريرة	hurajrah
بن	bin
تلميذ	tilmið
شبوطة	ʃabbutˤa
اجتماعي	id͡ʒtimaʕijj
مغطس	miɣtˤas
رساطون	rusatˤun
افغانستان	afɣanistan
ملقن	mulaqqin
أخذ	ʔaxaða
شرب	ʃariba
ورقة	waraqa
إلى	ʔila
قبط	qubtˤ
غلبة	ɣalubba
يوسف	jusif
بؤرة	buʔra
بتع	bitʕ
مبارز	mubariz
أكل	ʔakl
صيد	sˤajd
نار	nar
رام	rama
أغلب	ʔaɣlibu
أشم	ʔaʃamma
وقع	waqʕ
طنطور	tˤantˤur
شهلة	ʃahla
خمسة	xamsa
عنى	ʕana
كوثر	kawθar
إشفى	ʔiʃfa
شنبر	ʃanbar
فسح	fassaħa
قرطاجي	qartˤad͡ʒijj
هر	hirr
دخل	daxal
خولنجان	xawland͡ʒan
ل	li
أغلب	ʔuɣallabu
إمبريالي	ʔimbirjalijj
قادر	qadir
عظم	ʕaðˤðˤama
أهلا	ʔahlan
جواهري	d͡ʒawahirijj
إذ	ʔið
معنى	maʕna
مكوك	makkuk
حمام	ħimam
دماغي	dimaɣijj
مرحبا	marħaban
نشد	naʃada
مئذنة	miʔðana
قليب	qalib
